record_id,corporate_name,supplier_tier,country,annual_spend_usd,contract_start,category,risk_score,is_active,contact_email
SC-00234,Nimbus Cloud,Tier 3,China,2651111.9,2021-10-04,Logistics,4.6,True,procurement@nimbuscloud.com
SC-00235,Forge Industries,Tier 3,France,4344889.3,2023-10-26,Raw Materials,6.1,True,procurement@forgeindustr.com
SC-00236,Nova Logistics,Tier 3,India,1163091.84,2021-09-01,Raw Materials,7.05,False,procurement@novalogistic.com
SC-00237,Indigo Capital,Tier 2,UK,4671816.86,2021-07-14,Raw Materials,1.22,False,procurement@indigocapita.com
SC-00238,Prism Consulting,Tier 1,India,258229.11,2020-06-10,Raw Materials,9.24,True,procurement@prismconsult.com
SC-00239,Eclipse Trading,Tier 1,France,2715960.72,2023-02-25,Raw Materials,1.37,True,procurement@eclipsetradi.com
SC-00240,Nova Logistics,Tier 3,UK,1167074.65,2021-04-21,Electronics,1.0,True,procurement@novalogistic.com
SC-00241,Eclipse Trading,Tier 3,France,730461.82,2023-02-01,Logistics,4.07,False,procurement@eclipsetradi.com
SC-00242,Eclipse Trading,Tier 2,India,1462805.94,2020-05-01,Electronics,6.52,True,procurement@eclipsetradi.com
SC-00243,Forge Industries,Tier 1,China,4417112.62,2020-12-26,Electronics,9.97,False,procurement@forgeindustr.com
SC-00244,Pulsar Electronics,Tier 3,France,4633896.5,2020-03-17,Electronics,2.98,True,procurement@pulsarelectr.com
SC-00245,Sirius Retail,Tier 2,Japan,2739337.39,2022-10-08,Logistics,8.51,False,procurement@siriusretail.com
SC-00246,Stellar Pharma,Tier 1,India,854346.6,2022-07-28,Raw Materials,7.19,True,procurement@stellarpharm.com
SC-00247,Sirius Retail,Tier 3,Japan,3798549.61,2020-12-25,Services,8.56,False,procurement@siriusretail.com
SC-00248,Synapse Artificial Intelligence,Tier 2,USA,2034124.57,2020-07-14,Logistics,9.82,False,procurement@synapseai.com
SC-00249,Indigo Capital,Tier 1,India,1948693.23,2022-07-03,Raw Materials,9.54,True,procurement@indigocapita.com
SC-00250,Tempest Energy,Tier 2,Japan,1829782.85,2021-04-28,Electronics,6.68,False,procurement@tempestenerg.com
SC-00251,Cobalt Ventures,Tier 2,Japan,2537476.33,2023-12-11,Raw Materials,6.9,True,procurement@cobaltventur.com
SC-00252,Crest Financial,Tier 1,Germany,2417000.4,2022-07-20,Services,3.74,False,procurement@crestfinanci.com
SC-00253,Forge Industries,Tier 1,Japan,3785960.77,2020-06-16,Services,4.47,True,procurement@forgeindustr.com
SC-00254,Vertex Holdings,Tier 1,France,2760863.78,2022-11-01,Logistics,5.73,True,procurement@vertexholdin.com
SC-00255,Stratos Global,Tier 3,China,625388.11,2021-02-24,Services,4.89,False,procurement@stratosgloba.com
SC-00256,Pinnacle Systems Ltd,Tier 1,UK,2106351.64,2023-02-28,Electronics,5.59,True,procurement@pinnaclesyst.com
SC-00257,GlobalTech Incorporated,Tier 2,France,64926.58,2021-03-22,Services,0.73,False,procurement@globaltechin.com
SC-00258,Helios Media,Tier 3,USA,4676184.85,2020-05-21,Software,0.32,False,procurement@heliosmedia.com
SC-00259,Orion Dynamics,Tier 3,Japan,3247110.05,2022-05-10,Raw Materials,9.93,False,procurement@oriondynamic.com
SC-00260,Cascade Biotech,Tier 2,USA,3429515.25,2023-09-17,Services,1.33,True,procurement@cascadebiote.com
SC-00261,Meridian Corp,Tier 3,China,2667770.57,2021-04-01,Electronics,7.56,True,procurement@meridiancorp.com
SC-00262,Summit Resources,Tier 3,China,4125634.17,2021-05-21,Software,3.46,True,procurement@summitresour.com
SC-00263,Vanguard Networks,Tier 1,France,3317978.54,2023-06-13,Electronics,2.41,True,procurement@vanguardnetw.com
SC-00264,Catalyst Group,Tier 2,UK,3376517.0,2020-04-09,Logistics,7.41,False,procurement@catalystgrou.com
SC-00265,Cascade Biotech,Tier 3,Germany,3784209.26,2020-04-25,Logistics,5.04,True,procurement@cascadebiote.com
SC-00266,TITAN Manufacturing,Tier 3,India,2908500.33,2023-10-09,Raw Materials,2.37,True,procurement@titanmanufac.com
SC-00267,Radiant Health,Tier 2,India,1412011.91,2023-02-14,Services,8.8,True,procurement@radianthealt.com
SC-00268,Synapse Artificial Intelligence,Tier 2,USA,4862836.66,2023-08-10,Software,7.86,True,procurement@synapseai.com
SC-00269,Ionic Materials,Tier 1,India,1913477.93,2023-01-06,Software,2.41,True,procurement@ionicmateria.com
SC-00270,Cobalt Ventures,Tier 2,USA,2833810.45,2022-05-03,Services,5.3,False,procurement@cobaltventur.com
SC-00271,Nova Logistics,Tier 1,India,3251193.97,2022-07-10,Raw Materials,0.92,True,procurement@novalogistic.com
SC-00272,Pinnacle Systems Ltd,Tier 2,Japan,3044598.76,2020-03-21,Electronics,1.88,True,procurement@pinnaclesyst.com
SC-00273,Eclipse Trading,Tier 2,India,4787247.81,2020-02-01,Logistics,9.37,True,procurement@eclipsetradi.com
SC-00274,Eclipse Trading,Tier 3,UK,3533654.48,2022-03-23,Logistics,5.52,True,procurement@eclipsetradi.com
SC-00275,Delta Robotics,Tier 3,Japan,1828334.8,2021-06-19,Raw Materials,5.13,False,procurement@deltarobotic.com
SC-00276,Summit Resources,Tier 3,China,3820063.4,2021-10-17,Logistics,3.71,False,procurement@summitresour.com
SC-00277,NexGen,Tier 1,Japan,772317.43,2021-06-18,Services,9.35,False,procurement@nexgensoluti.com
SC-00278,Atlas Freight LLC,Tier 1,India,1188592.2,2023-03-12,Logistics,4.99,True,procurement@atlasfreight.com
SC-00279,Quantum Analytics Inc,Tier 3,Japan,3710990.75,2022-08-01,Logistics,7.33,True,procurement@quantumanaly.com
SC-00280,Stratos Global,Tier 3,UK,2467165.79,2023-01-15,Electronics,5.24,True,procurement@stratosgloba.com
SC-00281,Pinnacle Sys,Tier 2,Germany,4220596.35,2021-04-18,Electronics,7.07,True,procurement@pinnaclesyst.com
SC-00282,Solaris Energy,Tier 2,USA,3108284.42,2023-09-27,Services,9.13,False,procurement@solarisenerg.com
SC-00283,Global Tech Inc,Tier 3,UK,2086125.62,2020-02-04,Services,7.22,True,procurement@globaltechin.com
SC-00284,Global Tech,Tier 3,Japan,2181337.38,2021-01-02,Electronics,9.18,True,procurement@globaltechin.com
SC-00285,Nova Logistics,Tier 3,UK,1299470.07,2021-12-26,Raw Materials,7.95,True,procurement@novalogistic.com
SC-00286,Crest Financial,Tier 2,UK,1253879.08,2023-11-28,Logistics,3.0,True,procurement@crestfinanci.com
SC-00287,NexGen Solution,Tier 2,China,1916989.36,2022-09-01,Electronics,6.37,True,procurement@nexgensoluti.com
SC-00288,Horizon Enterprises,Tier 2,Japan,3932662.74,2023-03-04,Electronics,8.95,True,procurement@horizonenter.com
SC-00289,Titan Mfg,Tier 3,UK,2403726.42,2020-04-05,Electronics,6.84,True,procurement@titanmanufac.com
SC-00290,Forge Industries,Tier 1,France,1606699.23,2021-02-28,Services,1.44,False,procurement@forgeindustr.com
SC-00291,Vertex Holdings,Tier 1,UK,1240337.36,2022-03-07,Services,3.32,True,procurement@vertexholdin.com
SC-00292,Horizon Enterprises,Tier 1,USA,2213586.85,2020-06-04,Raw Materials,6.05,False,procurement@horizonenter.com
SC-00293,Indigo Capital,Tier 3,India,3928563.29,2022-07-11,Software,2.28,False,procurement@indigocapita.com
SC-00294,Synapse A.I.,Tier 3,UK,3320325.94,2020-06-24,Services,2.95,True,procurement@synapseai.com
SC-00295,Vertex Holdings,Tier 2,Germany,1930999.97,2023-07-22,Logistics,7.4,True,procurement@vertexholdin.com
SC-00296,Crest Financial,Tier 1,USA,4717653.13,2022-06-29,Raw Materials,7.61,True,procurement@crestfinanci.com
SC-00297,Apex Ind.,Tier 1,China,2271776.2,2023-02-10,Services,4.08,True,procurement@apexindustri.com
SC-00298,Horizon Enterprises,Tier 3,USA,3004776.55,2021-10-26,Software,0.12,False,procurement@horizonenter.com
SC-00299,Delta Robotics,Tier 3,UK,4530777.49,2021-05-12,Services,5.21,False,procurement@deltarobotic.com
SC-00300,Stratos Global,Tier 2,India,1378613.65,2020-10-25,Electronics,1.67,True,procurement@stratosgloba.com
SC-00301,Ionic Materials,Tier 2,France,430760.74,2021-05-30,Logistics,7.21,False,procurement@ionicmateria.com
SC-00302,Delphi Advisors,Tier 2,USA,720673.15,2020-01-14,Software,3.32,False,procurement@delphiadviso.com
SC-00303,Sirius Retail,Tier 2,China,4086603.58,2023-08-26,Services,1.36,True,procurement@siriusretail.com
SC-00304,Delphi Advisors,Tier 2,India,929304.49,2022-03-26,Raw Materials,2.91,False,procurement@delphiadviso.com
SC-00305,Solace Systems,Tier 2,China,1437485.72,2022-03-15,Raw Materials,1.14,True,procurement@solacesystem.com
SC-00306,Tempest Energy,Tier 3,France,2772990.83,2022-08-03,Logistics,4.38,True,procurement@tempestenerg.com
SC-00307,Vertex Holdings,Tier 3,China,738936.66,2021-09-12,Logistics,2.53,True,procurement@vertexholdin.com
SC-00308,SynapseAI,Tier 1,China,4953968.04,2022-09-08,Services,4.01,False,procurement@synapseai.com
SC-00309,Forge Industries,Tier 2,Japan,4482732.5,2023-01-04,Services,6.38,True,procurement@forgeindustr.com
SC-00310,Catalyst Group,Tier 3,Japan,1807293.66,2023-08-18,Services,0.44,False,procurement@catalystgrou.com
SC-00311,Sirius Retail,Tier 1,USA,538102.46,2021-03-30,Services,7.47,True,procurement@siriusretail.com
SC-00312,Cascade Biotech,Tier 2,China,3873094.05,2023-04-20,Services,1.51,True,procurement@cascadebiote.com
SC-00313,Eclipse Trading,Tier 2,China,4606710.35,2020-06-24,Electronics,8.31,True,procurement@eclipsetradi.com
SC-00314,Helios Media,Tier 2,China,3932136.49,2022-12-03,Software,3.48,True,procurement@heliosmedia.com
SC-00315,Cascade Biotech,Tier 2,USA,1536307.21,2023-12-26,Electronics,0.23,True,procurement@cascadebiote.com
SC-00316,Catalyst Group,Tier 3,Germany,2604169.81,2023-02-04,Logistics,3.31,False,procurement@catalystgrou.com
SC-00317,Summit Resources,Tier 2,Japan,963036.29,2023-08-04,Software,3.96,True,procurement@summitresour.com
SC-00318,Cascade Biotech,Tier 2,USA,3538441.3,2021-02-25,Raw Materials,7.52,True,procurement@cascadebiote.com
SC-00319,Solace Systems,Tier 3,Germany,1860675.5,2021-02-07,Software,1.14,False,procurement@solacesystem.com
SC-00320,Radiant Health,Tier 3,China,3075976.68,2023-04-17,Electronics,3.48,False,procurement@radianthealt.com
SC-00321,Aether Networks,Tier 3,Japan,4013036.25,2023-06-12,Services,0.85,True,procurement@aethernetwor.com
SC-00322,Indigo Capital,Tier 1,India,628897.07,2022-02-03,Logistics,5.11,False,procurement@indigocapita.com
SC-00323,Delphi Advisors,Tier 3,China,2144041.97,2022-09-23,Services,6.93,True,procurement@delphiadviso.com
SC-00324,Nimbus Cloud,Tier 2,India,744467.85,2021-10-06,Software,6.19,True,procurement@nimbuscloud.com
SC-00325,ACME Corporation,Tier 1,Germany,4085318.91,2023-02-24,Services,6.53,False,procurement@acmecorporat.com
SC-00326,Pulsar Electronics,Tier 3,France,2247066.13,2020-12-08,Electronics,5.65,True,procurement@pulsarelectr.com
SC-00327,Atlas Freight LLC,Tier 2,Germany,2711162.66,2020-12-10,Software,5.66,False,procurement@atlasfreight.com
SC-00328,Nimbus Cloud,Tier 3,USA,1376050.1,2023-01-17,Raw Materials,5.42,True,procurement@nimbuscloud.com
SC-00329,Cascade Biotech,Tier 2,USA,3693144.05,2023-08-31,Logistics,2.98,True,procurement@cascadebiote.com
SC-00330,Cascade Biotech,Tier 2,France,4092806.5,2022-06-18,Electronics,7.76,True,procurement@cascadebiote.com
SC-00331,Solaris Energy,Tier 3,UK,3182214.62,2020-12-05,Services,1.39,True,procurement@solarisenerg.com
SC-00332,Solaris Energy,Tier 3,India,2684789.95,2023-05-07,Services,1.68,True,procurement@solarisenerg.com
SC-00333,Atlas Freight Co,Tier 2,France,2596354.19,2023-10-23,Electronics,1.36,False,procurement@atlasfreight.com
SC-00334,Pinnacle Systems Ltd,Tier 3,Germany,3522061.31,2020-09-28,Logistics,1.46,True,procurement@pinnaclesyst.com
SC-00335,Nova Logistics,Tier 2,Germany,2908256.37,2021-07-04,Software,3.75,True,procurement@novalogistic.com
SC-00336,Horizon Enterprises,Tier 3,Japan,1427217.15,2022-01-25,Software,9.5,True,procurement@horizonenter.com
SC-00337,Tempest Energy,Tier 3,USA,3668113.09,2022-07-27,Raw Materials,8.5,False,procurement@tempestenerg.com
SC-00338,Solaris Energy,Tier 1,China,1379257.35,2021-08-03,Raw Materials,5.47,True,procurement@solarisenerg.com
SC-00339,Solace Systems,Tier 2,Japan,3823157.41,2020-04-04,Electronics,6.26,False,procurement@solacesystem.com
SC-00340,Global Tech Inc,Tier 1,China,2309764.77,2022-05-26,Logistics,9.96,True,procurement@globaltechin.com
SC-00341,Cobalt Ventures,Tier 2,USA,3290210.42,2021-05-27,Electronics,3.72,True,procurement@cobaltventur.com
SC-00342,Pinnacle Systems Ltd,Tier 3,India,3643642.4,2021-04-24,Software,6.55,True,procurement@pinnaclesyst.com
SC-00343,Acme Corp,Tier 2,USA,706863.97,2021-04-08,Services,6.8,True,procurement@acmecorporat.com
SC-00344,Acme Corp.,Tier 2,France,646939.24,2022-05-14,Logistics,4.78,True,procurement@acmecorporat.com
SC-00345,Delta Robotics,Tier 3,France,557014.49,2021-10-03,Raw Materials,8.81,True,procurement@deltarobotic.com
SC-00346,Delta Robotics,Tier 3,Japan,757122.68,2022-12-22,Services,0.08,True,procurement@deltarobotic.com
SC-00347,Cascade Biotech,Tier 3,Germany,3158996.19,2020-11-06,Software,6.16,False,procurement@cascadebiote.com
SC-00348,Solaris Energy,Tier 1,Germany,3774605.95,2023-04-22,Software,3.52,False,procurement@solarisenerg.com
SC-00349,Indigo Capital,Tier 1,India,3240871.81,2021-05-23,Services,6.01,True,procurement@indigocapita.com
SC-00350,Global Tech,Tier 2,Germany,2612858.18,2022-11-09,Logistics,7.48,True,procurement@globaltechin.com
SC-00351,Pinnacle Sys,Tier 2,China,608081.13,2022-10-20,Services,0.71,True,procurement@pinnaclesyst.com
SC-00352,Crest Financial,Tier 1,China,4311029.32,2023-03-10,Software,3.65,True,procurement@crestfinanci.com
SC-00353,Eclipse Trading,Tier 1,UK,384286.22,2021-06-20,Logistics,0.4,True,procurement@eclipsetradi.com
SC-00354,Prism Consulting,Tier 3,Japan,2530192.38,2022-04-30,Software,7.02,True,procurement@prismconsult.com
SC-00355,Forge Industries,Tier 2,USA,1584039.08,2022-11-13,Logistics,9.74,True,procurement@forgeindustr.com
SC-00356,Forge Industries,Tier 2,UK,3189756.52,2023-08-23,Electronics,3.1,False,procurement@forgeindustr.com
SC-00357,Nova Logistics,Tier 1,USA,4626907.38,2020-08-25,Software,6.12,True,procurement@novalogistic.com
SC-00358,Cobalt Ventures,Tier 1,USA,3554108.01,2023-12-07,Electronics,1.64,True,procurement@cobaltventur.com
SC-00359,Radiant Health,Tier 1,India,678306.51,2021-07-04,Electronics,7.71,True,procurement@radianthealt.com
SC-00360,Sirius Retail,Tier 2,UK,366166.35,2023-12-29,Services,6.28,False,procurement@siriusretail.com
SC-00361,Summit Resources,Tier 1,China,4303830.92,2020-12-07,Raw Materials,1.57,True,procurement@summitresour.com
SC-00362,Solace Systems,Tier 1,Japan,2568683.18,2020-03-31,Electronics,2.45,False,procurement@solacesystem.com
SC-00363,Crest Financial,Tier 1,Germany,4659242.38,2020-03-13,Services,8.03,False,procurement@crestfinanci.com
SC-00364,Titan Manufacturing Co,Tier 1,China,4583481.09,2021-10-17,Raw Materials,8.26,True,procurement@titanmanufac.com
SC-00365,Meridian Corp,Tier 1,Germany,4031473.2,2020-04-04,Software,0.69,False,procurement@meridiancorp.com
SC-00366,ATLAS Freight,Tier 2,USA,2787802.41,2020-01-17,Raw Materials,2.01,True,procurement@atlasfreight.com
SC-00367,Aether Networks,Tier 2,India,2978870.13,2022-10-07,Logistics,7.32,True,procurement@aethernetwor.com
SC-00368,Zenith Tech,Tier 2,USA,1203338.82,2021-12-10,Electronics,9.51,True,procurement@zenithtechno.com
SC-00369,Delta Robotics,Tier 1,Germany,2672581.72,2021-05-02,Software,4.92,True,procurement@deltarobotic.com
SC-00370,Zenith,Tier 2,USA,267306.32,2021-04-19,Services,4.13,True,procurement@zenithtechno.com
SC-00371,Summit Resources,Tier 3,USA,2551867.43,2023-07-29,Software,0.75,True,procurement@summitresour.com
SC-00372,Synapse Artificial Intelligence,Tier 1,Germany,1493796.32,2021-10-07,Software,7.01,True,procurement@synapseai.com
SC-00373,Indigo Capital,Tier 2,Germany,419702.81,2021-02-19,Logistics,7.8,True,procurement@indigocapita.com
SC-00374,Zenith Tech,Tier 1,China,2356972.81,2022-04-12,Electronics,5.36,True,procurement@zenithtechno.com
SC-00375,Cascade Biotech,Tier 2,India,4269786.82,2020-07-04,Logistics,8.08,True,procurement@cascadebiote.com
SC-00376,Delphi Advisors,Tier 1,France,4290037.69,2020-10-30,Electronics,7.11,True,procurement@delphiadviso.com
SC-00377,Prism Consulting,Tier 3,India,1337825.62,2020-12-22,Electronics,9.52,False,procurement@prismconsult.com
SC-00378,Nimbus Cloud,Tier 1,China,554441.38,2020-10-13,Electronics,0.12,True,procurement@nimbuscloud.com
SC-00379,Apex Ind.,Tier 2,India,3447112.05,2023-08-13,Electronics,5.82,True,procurement@apexindustri.com
SC-00380,Vertex Holdings,Tier 1,Germany,4517355.61,2022-06-27,Logistics,0.92,True,procurement@vertexholdin.com
SC-00381,Meridian Corp,Tier 2,USA,881546.58,2023-03-21,Software,8.22,False,procurement@meridiancorp.com
SC-00382,Pulsar Electronics,Tier 2,Japan,2161986.89,2021-12-25,Logistics,9.08,True,procurement@pulsarelectr.com
SC-00383,Stellar Pharma,Tier 1,USA,3089827.56,2023-06-17,Logistics,6.47,False,procurement@stellarpharm.com
SC-00384,Ionic Materials,Tier 1,USA,1434891.14,2020-10-08,Software,1.99,True,procurement@ionicmateria.com
SC-00385,Forge Industries,Tier 2,France,3581184.81,2022-09-09,Services,7.81,True,procurement@forgeindustr.com
SC-00386,Solace Systems,Tier 2,India,940088.57,2021-10-15,Services,2.19,True,procurement@solacesystem.com
SC-00387,Pinnacle Systems Ltd,Tier 3,India,3845868.73,2021-04-21,Logistics,1.0,True,procurement@pinnaclesyst.com
SC-00388,Stellar Pharma,Tier 1,UK,4240200.2,2022-03-06,Raw Materials,9.35,True,procurement@stellarpharm.com
SC-00389,Orion Dynamics,Tier 3,India,4040740.62,2023-11-29,Raw Materials,9.14,True,procurement@oriondynamic.com
SC-00390,Helios Media,Tier 3,Germany,4191649.36,2022-10-05,Services,3.09,False,procurement@heliosmedia.com
SC-00391,NexGen Solution,Tier 1,Germany,3028230.79,2020-02-10,Services,4.78,True,procurement@nexgensoluti.com
SC-00392,Aether Networks,Tier 1,India,3598841.28,2021-10-24,Electronics,0.22,True,procurement@aethernetwor.com
SC-00393,Meridian Corp,Tier 1,India,3537463.15,2023-09-18,Software,5.86,True,procurement@meridiancorp.com
SC-00394,Cobalt Ventures,Tier 1,Germany,3675142.53,2022-06-13,Software,6.49,True,procurement@cobaltventur.com
SC-00395,Nimbus Cloud,Tier 1,Japan,2965303.27,2020-12-25,Software,3.07,True,procurement@nimbuscloud.com
SC-00396,Apex Ind.,Tier 3,USA,4746501.12,2023-03-19,Software,8.51,True,procurement@apexindustri.com
SC-00397,Orion Dynamics,Tier 3,Germany,3216251.53,2020-08-01,Software,1.41,True,procurement@oriondynamic.com
SC-00398,Nova Logistics,Tier 2,Germany,3199124.51,2020-06-30,Raw Materials,4.47,True,procurement@novalogistic.com
SC-00399,Solaris Energy,Tier 3,USA,1784881.75,2020-08-09,Electronics,0.48,False,procurement@solarisenerg.com
SC-00400,Ionic Materials,Tier 2,China,4414764.76,2021-12-20,Services,3.75,False,procurement@ionicmateria.com
SC-00401,Solace Systems,Tier 1,China,414861.48,2020-03-09,Raw Materials,0.2,True,procurement@solacesystem.com
SC-00402,Catalyst Group,Tier 2,Germany,4445259.78,2020-11-25,Electronics,5.47,True,procurement@catalystgrou.com
SC-00403,Sirius Retail,Tier 3,USA,2185050.5,2023-08-31,Logistics,6.07,False,procurement@siriusretail.com
SC-00404,Stratos Global,Tier 1,India,1067474.86,2021-01-24,Software,6.97,True,procurement@stratosgloba.com
SC-00405,ATLAS Freight,Tier 1,USA,295695.44,2023-03-16,Services,8.4,True,procurement@atlasfreight.com
SC-00406,Pinnacle Systems Ltd,Tier 1,China,483760.38,2023-09-17,Services,4.8,True,procurement@pinnaclesyst.com
SC-00407,Global Tech Inc,Tier 1,Japan,1494466.76,2020-06-16,Software,8.44,True,procurement@globaltechin.com
SC-00408,Prism Consulting,Tier 2,Japan,1361771.77,2023-08-07,Services,3.88,True,procurement@prismconsult.com
SC-00409,Delta Robotics,Tier 1,China,270853.78,2022-06-19,Software,2.63,True,procurement@deltarobotic.com
SC-00410,Solace Systems,Tier 1,France,3497531.21,2020-07-17,Electronics,6.68,False,procurement@solacesystem.com
SC-00411,Tempest Energy,Tier 3,USA,4211945.97,2022-12-06,Software,9.66,False,procurement@tempestenerg.com
SC-00412,Solace Systems,Tier 2,India,440827.5,2020-03-12,Services,5.71,True,procurement@solacesystem.com
SC-00413,Meridian Corp,Tier 1,Germany,4862216.15,2021-01-29,Logistics,0.43,True,procurement@meridiancorp.com
SC-00414,Synapse A.I.,Tier 3,Germany,4178835.19,2021-06-12,Raw Materials,9.11,True,procurement@synapseai.com
SC-00415,Horizon Enterprises,Tier 3,China,2782668.25,2021-07-19,Services,4.58,True,procurement@horizonenter.com
SC-00416,Aether Networks,Tier 1,China,790729.48,2023-03-06,Services,5.83,True,procurement@aethernetwor.com
SC-00417,Catalyst Group,Tier 2,France,2701385.73,2021-12-05,Software,2.64,False,procurement@catalystgrou.com
SC-00418,Solace Systems,Tier 1,Germany,1413300.0,2020-10-21,Services,6.09,False,procurement@solacesystem.com
SC-00419,Next Gen Solutions,Tier 2,Japan,1226017.5,2022-08-31,Raw Materials,8.97,True,procurement@nexgensoluti.com
SC-00420,Sirius Retail,Tier 2,India,4222090.51,2023-11-26,Electronics,9.72,True,procurement@siriusretail.com
SC-00421,APEX Industries,Tier 3,China,3881452.96,2021-10-19,Raw Materials,7.29,True,procurement@apexindustri.com
SC-00422,Vanguard Networks,Tier 1,France,2065493.29,2022-09-19,Services,8.67,True,procurement@vanguardnetw.com
SC-00423,Vertex Capital,Tier 1,India,3562368.52,2022-04-06,Logistics,7.81,True,procurement@vertexcapita.com
SC-00424,Orion Dynamics,Tier 1,France,335256.2,2020-03-08,Software,0.51,True,procurement@oriondynamic.com
SC-00425,Vanguard Networks,Tier 2,France,2347881.4,2022-03-23,Electronics,6.81,True,procurement@vanguardnetw.com
SC-00426,Crest Financial,Tier 3,China,929039.29,2022-08-29,Services,5.51,True,procurement@crestfinanci.com
SC-00427,Stratos Global,Tier 3,France,3459810.16,2021-08-06,Electronics,3.87,True,procurement@stratosgloba.com
SC-00428,Solace Systems,Tier 1,Japan,1164304.6,2021-02-27,Raw Materials,6.52,True,procurement@solacesystem.com
SC-00429,ACME Corporation,Tier 1,Japan,907343.25,2020-01-18,Logistics,2.52,True,procurement@acmecorporat.com
SC-00430,Stellar Pharma,Tier 2,France,1776110.54,2021-05-31,Logistics,4.67,False,procurement@stellarpharm.com
SC-00431,Tempest Energy,Tier 1,UK,4997175.43,2022-02-05,Services,6.47,True,procurement@tempestenerg.com
SC-00432,Cobalt Ventures,Tier 2,USA,1714604.09,2021-07-20,Raw Materials,8.61,True,procurement@cobaltventur.com
SC-00433,Cobalt Ventures,Tier 1,UK,3839098.22,2020-04-26,Services,4.04,True,procurement@cobaltventur.com
SC-00434,Apex Industries LLC,Tier 1,Japan,2511995.5,2021-08-28,Raw Materials,9.07,False,procurement@apexindustri.com
SC-00435,Delta Robotics,Tier 3,Japan,4974030.96,2021-01-23,Raw Materials,7.27,True,procurement@deltarobotic.com
SC-00436,Forge Industries,Tier 3,India,2561208.54,2020-12-14,Services,1.81,True,procurement@forgeindustr.com
SC-00437,Eclipse Trading,Tier 3,India,3639673.85,2023-02-18,Logistics,9.47,True,procurement@eclipsetradi.com
SC-00438,Horizon Enterprises,Tier 2,Germany,3733839.15,2021-09-20,Software,7.88,True,procurement@horizonenter.com
SC-00439,Crest Financial,Tier 3,India,2345615.11,2020-08-29,Software,0.54,True,procurement@crestfinanci.com
SC-00440,Eclipse Trading,Tier 3,USA,4344113.89,2022-02-20,Services,2.98,True,procurement@eclipsetradi.com
SC-00441,Zenith Tech,Tier 1,India,2075499.64,2023-03-12,Software,1.43,True,procurement@zenithtechno.com
SC-00442,Horizon Enterprises,Tier 2,Japan,4933869.84,2021-10-03,Electronics,0.05,True,procurement@horizonenter.com
SC-00443,Solaris Energy,Tier 3,France,834253.83,2020-06-29,Logistics,6.14,False,procurement@solarisenerg.com
SC-00444,Prism Consulting,Tier 2,China,73112.23,2022-12-29,Logistics,7.31,True,procurement@prismconsult.com
SC-00445,Indigo Capital,Tier 1,Japan,70412.98,2021-05-24,Logistics,6.94,True,procurement@indigocapita.com
SC-00446,Cobalt Ventures,Tier 1,China,2541515.57,2021-09-18,Logistics,0.65,True,procurement@cobaltventur.com
SC-00447,Cobalt Ventures,Tier 2,Japan,2625427.64,2022-12-09,Raw Materials,4.34,True,procurement@cobaltventur.com
SC-00448,Sirius Retail,Tier 2,France,982708.87,2022-04-06,Electronics,2.28,True,procurement@siriusretail.com
SC-00449,Solaris Energy,Tier 3,UK,886474.47,2022-01-20,Electronics,3.75,True,procurement@solarisenerg.com
SC-00450,Forge Industries,Tier 3,USA,3326751.08,2023-08-31,Electronics,0.48,True,procurement@forgeindustr.com
SC-00451,Ionic Materials,Tier 2,USA,2759047.8,2022-08-29,Logistics,2.05,True,procurement@ionicmateria.com
SC-00452,Cobalt Ventures,Tier 3,USA,3329290.68,2021-07-06,Services,6.06,True,procurement@cobaltventur.com
SC-00453,Ionic Materials,Tier 3,Japan,3107604.88,2021-08-01,Electronics,7.85,False,procurement@ionicmateria.com
SC-00454,Vanguard Networks,Tier 2,France,2639573.23,2021-02-17,Raw Materials,7.03,True,procurement@vanguardnetw.com
SC-00455,Stratos Global,Tier 3,China,4556265.31,2023-11-10,Software,3.31,True,procurement@stratosgloba.com
SC-00456,Acme Corp.,Tier 1,USA,4184399.22,2023-10-02,Software,1.49,True,procurement@acmecorporat.com
SC-00457,Vertex Capital,Tier 3,Japan,551387.87,2021-06-08,Logistics,4.57,True,procurement@vertexcapita.com
SC-00458,Quantum Analytics Inc,Tier 1,USA,4075233.15,2020-03-21,Raw Materials,3.6,True,procurement@quantumanaly.com
SC-00459,Synapse Artificial Intelligence,Tier 1,USA,4263667.21,2020-04-03,Electronics,8.52,True,procurement@synapseai.com
SC-00460,Sirius Retail,Tier 2,UK,1378131.52,2020-07-09,Raw Materials,8.15,True,procurement@siriusretail.com
SC-00461,Meridian Corp,Tier 2,China,1395573.8,2022-02-28,Software,8.0,True,procurement@meridiancorp.com
SC-00462,Meridian Corp,Tier 3,Japan,340299.66,2020-11-22,Electronics,4.16,False,procurement@meridiancorp.com
SC-00463,Solace Systems,Tier 1,UK,1929766.36,2022-01-04,Services,0.29,True,procurement@solacesystem.com
SC-00464,Eclipse Trading,Tier 1,China,2231405.01,2020-05-09,Raw Materials,6.55,True,procurement@eclipsetradi.com
SC-00465,Radiant Health,Tier 3,France,1724588.18,2022-12-07,Services,0.95,True,procurement@radianthealt.com
SC-00466,Eclipse Trading,Tier 3,Japan,3224952.04,2020-10-31,Services,8.92,True,procurement@eclipsetradi.com
SC-00467,Acme Corp.,Tier 1,UK,4251785.6,2022-10-12,Logistics,0.75,False,procurement@acmecorporat.com
